PWM,Reading
0,393
0,493
0,346
0,474
0,89
0,351
0,282
0,61
0,163
0,431
0,136
0,168
0,209
0,302
0,93
0,173
0,136
0,207
0,21
0,13
0,106
0,25
0,379
0,492
0,219
0,400
0,79
0,300
0,479
0,469
0,302
0,74
0,300
0,265
0,75
0,299
0,7
0,200
0,254
0,105
0,332
0,475
0,85
0,18
0,305
0,363
0,246
0,319
0,260
0,243
0,400
0,320
0,405
0,389
0,371
0,33
0,132
0,312
0,240
0,264
0,227
0,413
0,444
0,164
0,299
0,19
0,84
0,225
0,492
0,208
0,375
0,70
0,191
0,81
0,169
0,117
0,286
0,88
0,198
0,496
0,86
0,313
0,205
0,417
0,416
0,121
0,90
0,60
0,478
0,215
0,153
0,476
0,347
0,468
0,325
0,33
0,1
0,356
0,37
0,206
0,243
0,487
0,109
0,54
0,299
0,351
0,10
0,425
0,4
0,431
0,322
0,75
0,452
0,60
0,392
0,46
0,494
0,192
0,122
0,469
0,75
0,305
0,82
0,4
0,246
0,478
0,345
0,278
0,148
0,215
0,39
0,15
0,183
0,496
0,5
0,271
0,238
0,62
0,64
0,421
0,110
0,351
0,190
0,360
0,143
0,366
0,470
0,366
0,305
0,86
0,356
0,435
0,260
0,445
0,61
0,369
0,129
0,187
0,131
0,436
0,104
0,461
0,111
0,137
0,1
0,159
0,396
0,235
0,51
0,152
0,328
0,119
0,10
0,282
0,358
0,45
0,228
0,334
0,124
0,379
0,210
0,358
0,102
0,20
0,495
0,357
0,345
0,322
0,443
0,175
0,447
0,437
0,283
0,265
0,220
0,286
0,309
0,334
0,376
0,421
0,129
0,105
0,231
0,156
0,446
0,127
0,37
0,71
0,207
0,3
0,117
0,107
0,288
0,283
0,1
0,402
0,306
0,319
0,370
0,222
0,314
0,83
0,0
0,256
0,236
0,192
0,211
0,409
0,386
0,495
0,192
0,492
0,213
0,385
0,414
0,293
0,277
0,10
0,495
0,132
0,328
0,310
0,287
0,390
0,43
0,234
0,442
0,227
0,429
0,253
0,385
0,209
0,302
0,94
0,424
0,193
0,5
0,65
0,364
0,396
0,449
0,98
0,452
0,209
0,76
0,119
0,115
0,205
0,145
0,367
0,15
0,250
0,292
0,276
0,105
0,56
0,281
0,117
0,180
0,91
0,418
0,224
0,316
0,499
0,235
0,13
0,221
0,215
0,448
0,476
0,28
0,342
0,95
0,398
0,191
0,319
0,355
0,404
0,487
0,452
0,120
0,108
0,480
0,226
0,243
0,135
0,213
0,304
0,280
0,441
0,433
0,329
0,260
0,236
0,319
0,53
0,222
0,378
0,385
0,224
0,27
0,170
0,60
0,69
0,497
0,80
0,218
0,134
0,479
0,90
0,57
0,85
0,176
0,338
0,165
0,178
0,329
0,462
0,376
0,199
0,454
0,323
0,97
0,458
0,85
0,190
0,75
0,89
0,283
0,408
0,158
0,353
0,257
0,230
0,494
0,245
0,445
0,74
0,210
0,442
0,335
0,41
0,456
0,361
0,113
0,350
0,254
0,29
0,244
0,312
0,177
0,324
0,236
0,436
0,8
0,428
0,66
0,98
0,254
0,422
0,263
0,459
0,285
0,156
0,442
0,76
0,143
0,267
0,11
0,475
0,237
0,267
0,353
0,118
0,151
0,480
0,95
0,134
0,385
0,445
0,281
0,365
0,186
0,461
0,213
0,40
0,33
0,482
0,478
0,275
0,353
0,256
0,119
0,197
0,194
0,213
0,117
0,22
0,285
0,359
0,437
0,124
0,223
0,39
0,24
0,307
0,346
0,36
0,305
0,357
0,29
0,357
0,25
0,331
0,73
0,459
0,211
0,359
0,54
0,44
0,141
0,119
0,317
0,85
0,272
0,351
0,304
0,447
0,55
0,499
0,362
0,94
0,38
0,11
0,154
0,142
0,463
0,255
0,346
0,213
0,386
0,10
0,187
0,450
0,402
0,230
0,3
0,460
0,6
0,482
0,161
0,155
0,96
0,349
0,491
0,378
0,74
0,432
0,434
0,121
0,360
0,232
0,102
0,452
0,139
0,58
0,311
0,156
0,58
0,487
0,112
0,346
0,170
0,262
0,248
0,229
0,67
0,470
0,326
0,31
0,284
0,447
0,493
0,55
0,445
0,236
0,413
0,435
0,101
0,123
0,138
0,12
0,435
0,152
0,336
0,66
0,265
0,444
0,317
0,363
0,167
0,396
0,103
0,401
0,235
0,133
0,38
0,230
0,255
0,110
0,266
0,10
0,469
0,365
0,237
0,104
0,302
0,121
0,371
0,58
0,140
0,115
0,266
0,58
0,458
0,257
0,139
0,115
0,401
0,416
0,17
0,246
0,405
0,402
0,235
0,231
0,63
0,467
0,395
0,9
0,285
0,60
0,461
0,232
0,329
0,217
0,270
0,487
0,305
0,396
0,392
0,223
0,240
0,48
0,219
0,24
0,395
0,59
0,252
0,474
0,253
0,23
0,191
0,212
0,209
0,142
0,346
0,182
0,235
0,343
0,393
0,426
0,272
0,279
0,334
0,189
0,487
0,492
0,102
0,493
0,446
0,489
0,412
0,250
0,183
0,150
0,175
0,173
0,89
0,141
0,171
0,474
0,225
0,101
0,159
0,347
0,69
0,266
0,93
0,27
0,497
0,392
0,301
0,36
0,293
0,63
0,251
0,335
0,94
0,377
0,492
0,233
0,185
0,414
0,149
0,256
0,110
0,179
0,114
0,175
0,418
0,200
0,20
0,468
0,303
0,61
0,182
0,195
0,75
0,366
0,7
0,446
0,402
0,198
0,240
0,195
0,147
0,418
0,351
0,70
0,81
0,393
0,330
0,276
0,108
0,228
0,345
0,398
0,50
0,245
0,387
0,341
0,56
0,44
0,146
0,70
0,268
0,219
0,169
0,361
0,51
0,157
0,477
0,170
0,48
0,436
0,72
0,13
0,129
0,295
0,78
0,236
0,58
0,263
0,488
0,161
0,75
0,428
0,280
0,271
0,188
0,470
0,121
0,248
0,85
0,436
0,215
0,81
0,357
0,197
0,220
0,81
0,230
0,452
0,236
0,22
0,254
0,262
0,314
0,79
0,401
0,86
0,491
0,56
0,453
0,351
0,290
0,294
0,53
0,204
0,350
0,171
0,356
0,258
0,305
0,243
0,345
0,219
0,348
0,307
0,286
0,465
1,94
1,81
1,140
1,301
1,11
1,84
1,298
1,84
1,300
1,318
1,48
1,162
1,423
1,7
1,319
1,180
1,302
1,429
1,229
1,240
1,75
1,426
1,50
1,454
1,43
1,147
1,288
1,419
1,398
1,14
1,41
1,140
1,452
1,256
1,56
1,368
1,425
1,153
1,287
1,497
1,15
1,99
1,270
1,401
1,391
1,2
1,325
1,359
1,412
1,292
1,373
1,353
1,286
1,41
1,143
1,409
1,446
1,446
1,141
1,208
1,17
1,177
1,198
1,385
1,455
1,195
1,260
1,210
1,68
1,424
1,338
1,394
1,343
1,61
1,91
1,12
1,397
1,118
1,390
1,386
1,386
1,38
1,268
1,483
1,376
1,18
1,288
1,469
1,240
1,156
1,496
1,365
1,412
1,12
1,23
1,351
1,192
1,181
1,176
1,388
1,190
1,407
1,268
1,415
1,100
1,445
1,4
1,358
1,77
1,255
1,122
1,458
1,116
1,159
1,104
1,22
1,130
1,474
1,193
1,85
1,463
1,153
1,147
1,218
1,251
1,394
1,139
1,194
1,323
1,124
1,112
1,299
1,36
1,363
1,36
1,464
1,359
1,257
1,252
1,305
1,399
1,232
1,91
1,457
1,206
1,22
1,321
1,24
1,218
1,297
1,148
1,11
1,93
1,251
1,199
1,166
1,130
1,59
1,277
1,23
1,279
1,246
1,68
1,87
1,0
1,121
1,409
1,151
1,29
1,443
1,85
1,328
1,47
1,335
1,496
1,187
1,362
1,394
1,125
1,167
1,414
1,414
1,268
1,205
1,282
1,414
1,436
1,79
1,440
1,198
1,32
1,359
1,390
1,40
1,22
1,452
1,154
1,379
1,34
1,456
1,142
1,48
1,165
1,86
1,89
1,497
1,398
1,0
1,171
1,223
1,8
1,120
1,79
1,47
1,272
1,29
1,287
1,458
1,246
1,498
1,286
1,260
1,189
1,118
1,317
1,39
1,97
1,345
1,346
1,494
1,487
1,172
1,234
1,466
1,80
1,194
1,32
1,103
1,191
1,383
1,96
1,294
1,366
1,313
1,63
1,349
1,148
1,0
1,304
1,371
1,343
1,115
1,13
1,387
1,283
1,495
1,111
1,4
1,123
1,249
1,162
1,70
1,10
1,211
1,381
1,328
1,202
1,315
1,406
1,219
1,365
1,498
1,180
1,17
1,415
1,46
1,197
1,73
1,187
1,290
1,192
1,341
1,231
1,316
1,351
1,384
1,223
1,244
1,386
1,147
1,111
1,255
1,75
1,182
1,17
1,265
1,143
1,120
1,443
1,39
1,469
1,121
1,293
1,37
1,110
1,334
1,36
1,39
1,253
1,454
1,342
1,187
1,48
1,441
1,72
1,269
1,276
1,182
1,245
1,406
1,477
1,459
1,421
1,345
1,406
1,88
1,367
1,349
1,363
1,102
1,471
1,91
1,451
1,391
1,157
1,96
1,460
1,412
1,56
1,407
1,241
1,140
1,139
1,370
1,361
1,478
1,279
1,6
1,437
1,51
1,144
1,484
1,149
1,259
1,157
1,212
1,474
1,351
1,44
1,402
1,71
1,98
1,315
1,341
1,309
1,434
1,280
1,122
1,483
1,443
1,224
1,112
1,141
1,486
1,469
1,469
1,356
1,399
1,239
1,242
1,101
1,272
1,451
1,36
1,216
1,417
1,102
1,166
1,364
1,27
1,102
1,372
1,307
1,400
1,21
1,24
1,269
1,277
1,6
1,221
1,21
1,187
1,95
1,459
1,319
1,53
1,421
1,59
1,366
1,455
1,69
1,158
1,498
1,155
1,66
1,1
1,386
1,487
1,26
1,186
1,77
1,57
1,130
1,237
1,478
1,427
1,352
1,26
1,380
1,165
1,183
1,386
1,151
1,394
1,154
1,9
1,367
1,153
1,46
1,230
1,183
1,175
1,354
1,449
1,148
1,437
1,25
1,307
1,495
1,9
1,8
1,354
1,458
1,264
1,137
1,236
1,214
1,204
1,253
1,437
1,174
1,244
1,313
1,440
1,206
1,51
1,435
1,271
1,370
1,199
1,32
1,297
1,17
1,376
1,279
1,94
1,257
1,299
1,315
1,482
1,186
1,119
1,491
1,259
1,467
1,58
1,361
1,412
1,344
1,380
1,471
1,280
1,442
1,248
1,51
1,352
1,318
1,69
1,390
1,428
1,228
1,3
1,91
1,386
1,243
1,449
1,64
1,299
1,261
1,331
1,377
1,87
1,278
1,184
1,332
1,363
1,487
1,34
1,162
1,10
1,380
1,141
1,89
1,138
1,13
1,466
1,288
1,415
1,64
1,21
1,439
1,439
1,284
1,76
1,6
1,315
1,315
1,268
1,49
1,378
1,317
1,75
1,310
1,147
1,51
1,328
1,297
1,114
1,132
