PWM,Reading
0,137
0,196
0,331
0,462
0,214
0,421
0,277
0,78
0,482
0,498
0,4
0,291
0,34
0,55
0,28
0,358
0,405
0,299
0,473
0,393
0,497
0,139
0,191
0,234
0,121
0,283
0,90
0,325
0,129
0,208
0,343
0,433
0,247
0,74
0,222
0,297
0,304
0,338
0,157
0,121
0,431
0,103
0,205
0,417
0,186
0,138
0,215
0,445
0,224
0,433
0,409
0,216
0,13
0,365
0,353
0,417
0,343
0,69
0,282
0,101
0,135
0,320
0,206
0,397
0,204
0,313
0,75
0,276
0,235
0,424
0,490
0,96
0,78
0,269
0,105
0,137
0,156
0,440
0,22
0,110
0,207
0,484
0,284
0,404
0,99
0,146
0,236
0,440
0,140
0,152
0,175
0,66
0,404
0,418
0,342
0,314
0,336
0,51
0,448
0,144
0,383
0,498
0,259
0,322
0,482
0,460
0,345
0,463
0,59
0,233
0,362
0,355
0,308
0,364
0,387
0,416
0,401
0,130
0,494
0,450
0,202
0,237
0,105
0,118
0,368
0,231
0,480
0,132
0,250
0,155
0,260
0,363
0,39
0,414
0,478
0,30
0,455
0,138
0,292
0,182
0,474
0,380
0,84
0,456
0,94
0,94
0,441
0,445
0,392
0,119
0,286
0,290
0,496
0,70
0,376
0,46
0,118
0,438
0,185
0,134
0,290
0,220
0,490
0,346
0,483
0,287
0,271
0,190
0,422
0,166
0,469
0,187
0,247
0,229
0,58
0,406
0,228
0,439
0,394
0,481
0,354
0,452
0,107
0,317
0,169
0,495
0,110
0,420
0,166
0,324
0,475
0,444
0,441
0,151
0,198
0,94
0,163
0,66
0,60
0,123
0,3
0,270
0,416
0,229
0,456
0,364
0,34
0,356
0,411
0,489
0,484
0,364
0,187
0,345
0,332
0,185
0,123
0,80
0,148
0,210
0,304
0,122
0,173
0,370
0,192
0,252
0,77
0,11
0,441
0,167
0,206
0,132
0,89
0,465
0,410
0,367
0,443
0,109
0,341
0,49
0,170
0,309
0,146
0,24
0,62
0,373
0,41
0,131
0,346
0,215
0,352
0,67
0,110
0,327
0,141
0,395
0,405
0,426
0,448
0,156
0,441
0,110
0,206
0,51
0,15
0,123
0,45
0,32
0,489
0,176
0,78
0,414
0,267
0,367
0,162
0,102
0,78
0,143
0,239
0,36
0,406
0,81
0,207
0,122
0,155
0,343
0,41
0,292
0,65
0,192
0,129
0,358
0,317
0,207
0,164
0,135
0,54
0,98
0,351
0,76
0,49
0,56
0,113
0,140
0,185
0,117
0,96
0,369
0,65
0,372
0,31
0,70
0,417
0,398
0,254
0,498
0,167
0,393
0,406
0,17
0,351
0,214
0,286
0,313
0,242
0,415
0,337
0,8
0,357
0,154
0,66
0,434
0,264
0,384
0,32
0,11
0,142
0,53
0,133
0,242
0,229
0,324
0,224
0,269
0,221
0,425
0,38
0,35
0,131
0,159
0,113
0,152
0,371
0,100
0,108
0,163
0,119
0,464
0,316
0,297
0,127
0,426
0,170
0,59
0,317
0,235
0,1
0,163
0,91
0,398
0,287
0,105
0,92
0,196
0,158
0,356
0,455
0,179
0,146
0,435
0,356
0,3
0,55
0,24
0,459
0,101
0,382
0,301
0,59
0,23
0,277
0,53
0,83
0,260
0,215
0,172
0,332
0,57
0,125
0,42
0,430
0,412
0,490
0,301
0,476
0,6
0,367
0,42
0,415
0,265
0,63
0,56
0,78
0,173
0,38
0,431
0,57
0,171
0,245
0,209
0,4
0,113
0,195
0,354
0,118
0,493
0,453
0,120
0,237
0,43
0,351
0,175
0,446
0,224
0,462
0,158
0,185
0,252
0,404
0,101
0,17
0,323
0,129
0,275
0,465
0,165
0,112
0,191
0,109
0,40
0,255
0,112
0,450
0,225
0,17
0,55
0,194
0,213
0,112
0,210
0,363
0,451
0,346
0,417
0,100
0,406
0,4
0,99
0,325
0,326
0,10
0,87
0,178
0,494
0,488
0,323
0,15
0,405
0,77
0,229
0,90
0,175
0,45
0,408
0,277
0,98
0,393
0,132
0,260
0,299
0,47
0,250
0,364
0,272
0,141
0,224
0,161
0,231
0,34
0,374
0,391
0,339
0,57
0,386
0,53
0,369
0,107
0,400
0,78
0,394
0,206
0,149
0,81
0,257
0,433
0,131
0,451
0,108
0,428
0,345
0,209
0,430
0,61
0,351
0,308
0,301
0,192
0,356
0,128
0,406
0,393
0,135
0,382
0,164
0,162
0,481
0,223
0,483
0,166
0,323
0,407
0,284
0,177
0,269
0,219
0,171
0,371
0,255
0,455
0,461
0,163
0,285
0,41
0,435
0,480
0,388
0,485
0,327
0,252
0,16
0,475
0,121
0,136
0,3
0,481
0,473
0,231
0,455
0,66
0,485
0,119
0,116
0,400
0,412
0,395
0,257
0,328
0,178
0,366
0,50
0,387
0,80
0,442
0,141
0,51
0,261
0,325
0,79
0,106
0,108
0,452
0,488
0,498
0,139
0,462
0,419
0,73
0,471
0,314
0,389
0,224
0,72
0,143
0,314
0,371
0,226
0,245
0,200
0,146
0,289
0,63
0,408
0,41
0,143
0,343
0,390
0,283
0,478
0,232
0,85
0,207
0,166
0,194
0,46
0,25
0,7
0,34
0,215
0,279
0,480
0,182
0,197
0,268
0,423
0,228
0,261
0,325
0,408
0,154
0,255
0,198
0,440
0,207
0,1
0,326
0,101
0,185
0,74
0,359
0,253
0,340
0,318
0,238
0,147
0,449
0,281
0,103
0,215
0,441
0,206
0,244
0,46
0,414
0,3
0,53
0,66
0,184
0,200
0,336
0,201
0,364
0,318
0,26
0,311
0,397
0,167
0,335
0,404
0,327
0,406
0,263
0,493
0,38
0,264
0,360
0,198
0,38
0,29
0,302
0,343
0,489
0,333
0,224
0,346
0,108
0,460
0,120
0,198
0,109
0,238
0,93
0,198
0,374
0,195
0,482
0,374
0,494
0,250
0,211
0,41
0,481
0,311
0,438
0,322
0,405
0,198
0,496
0,288
0,457
0,467
0,157
0,100
0,18
0,175
0,23
0,91
0,117
0,228
0,375
0,315
0,67
0,86
0,397
0,86
0,192
1,221
1,96
1,413
1,36
1,483
1,290
1,215
1,324
1,44
1,291
1,408
1,218
1,295
1,224
1,288
1,482
1,182
1,176
1,241
1,142
1,78
1,26
1,96
1,303
1,356
1,446
1,175
1,112
1,346
1,207
1,448
1,94
1,263
1,319
1,348
1,418
1,424
1,463
1,299
1,79
1,70
1,378
1,342
1,93
1,321
1,419
1,91
1,171
1,423
1,60
1,111
1,323
1,217
1,350
1,53
1,39
1,152
1,137
1,121
1,5
1,104
1,442
1,172
1,376
1,88
1,309
1,366
1,378
1,341
1,143
1,295
1,271
1,293
1,138
1,491
1,400
1,241
1,46
1,291
1,487
1,160
1,359
1,253
1,82
1,124
1,379
1,71
1,268
1,260
1,1
1,323
1,93
1,216
1,280
1,402
1,116
1,380
1,201
1,408
1,241
1,405
1,462
1,73
1,71
1,396
1,114
1,445
1,174
1,51
1,367
1,17
