PWM,Red,Yellow,Green,Blue
0,245.5512129380054,252.9796195652174,250.96377749029753,245.6625850340136
1,244.3888130968622,253.34871099050204,255.63179347826087,252.71544715447155
2,252.99589603283172,247.86107290233838,246.98915989159892,260.08990318118947
3,258.04689655172416,243.18682795698925,245.95411605937923,242.52454417952313
4,254.6267029972752,255.47638326585695,244.2335164835165,256.7319444444444
5,245.9357045143639,249.35558583106268,257.6106557377049,259.3305898491084
6,243.78150134048258,246.8204081632653,260.1386271870794,257.43328748280607
7,250.8415300546448,249.696644295302,253.1818181818182,254.61917808219178
8,251.05,253.3656618610747,251.82556591211718,243.50760719225448
9,244.63896457765668,244.0,244.3443072702332,248.9377593360996
10,245.04234972677597,263.2229639519359,256.52232746955343,252.12175102599178
11,246.7568306010929,249.42838370565045,243.78897849462365,252.5
12,247.74697173620459,252.036,246.69117647058823,250.903355704698
13,241.93278463648835,246.74197860962568,249.74088541666666,248.9133425034388
14,232.08643617021278,249.97796143250687,249.61690885072656,246.78363384188626
15,254.76510067114094,244.85773480662982,251.8985313751669,246.33009708737865
16,239.7911051212938,250.04774897680764,244.1184387617766,237.23259052924791
17,243.91520861372814,256.4066666666667,248.03378378378378,262.0927694406548
18,249.1869031377899,256.702216066482,246.28180574555404,252.6694329183956
19,242.77853260869566,253.9668508287293,249.78638184245662,248.94157608695653
20,252.1978465679677,258.68236877523555,250.78703703703704,249.4524456521739
21,247.8991935483871,252.69168900804289,253.29027962716378,246.00803212851406
22,246.53931034482758,246.25,253.16190476190476,252.98219178082192
23,256.48173207036535,243.87465564738292,251.39005235602093,253.33152173913044
24,250.4918699186992,252.03355704697987,251.7721179624665,248.48294679399726
25,251.7970430107527,246.3713892709766,247.375,252.77197802197801
26,250.52185430463575,238.92087312414733,249.85841836734693,242.10604026845638
27,255.7196261682243,246.4027027027027,251.58891752577318,246.68059299191376
28,246.1795918367347,244.82626538987688,257.02770083102496,249.85129604365622
29,248.10664819944597,248.12125340599454,251.69156293222684,244.88172043010752
30,248.33471074380165,245.61486486486487,240.7620357634113,249.4536652835408
31,245.887381275441,249.91712707182322,243.19945725915875,246.84986225895318
32,240.0271370420624,253.94321329639888,247.34159779614325,238.40871934604905
33,258.96782841823057,252.8695054945055,253.0752688172043,245.31071913161466
34,253.71677852348992,256.5502008032129,246.7479674796748,254.0467032967033
35,258.49122807017545,249.45541838134432,248.2296195652174,253.3630229419703
36,252.30082417582418,253.03729281767957,246.93775372124492,252.16298342541435
37,252.19060773480663,248.92140921409214,253.1179698216735,239.36914600550963
38,254.0718232044199,247.95154777927323,250.6875,259.4774897680764
39,253.02455661664393,251.2196132596685,250.37704918032787,243.91381668946647
40,257.76534788540243,248.9528936742934,247.23076923076923,255.74175824175825
41,250.26063829787233,246.095567867036,245.6843537414966,252.58448753462605
42,248.02445652173913,251.76005547850207,253.17741935483872,243.52420470262794
43,241.28201634877385,253.06284153005464,249.43213296398892,240.87878787878788
44,257.01243093922653,251.73379310344828,253.3328748280605,242.24175824175825
45,251.84657534246574,251.32926829268294,249.15691489361703,249.2283356258597
46,245.86111111111111,250.03310344827585,247.17004048582996,247.9001386962552
47,247.82920110192836,254.472334682861,256.3480589022758,254.67847411444143
48,244.3179347826087,257.2279005524862,244.71077762619373,241.94305555555556
49,257.7693370165746,251.87808219178083,249.63165075034107,246.3888130968622
50,249.8949522510232,241.3701211305518,257.83469945355193,252.71487603305786
51,249.07094133697134,254.86556927297667,258.23803009575926,255.78018995929443
