Current (mA),Voltage (V)
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
-0.0004,0.0001
-0.0128,0.0442
-0.0048,0.0582
0.0022,0.0610
0.0004,0.0623
0.0004,0.0622
0.0088,0.0618
-0.0989,0.0837
-0.0125,0.1388
0.0015,0.1536
0.0007,0.1600
0.0106,0.1598
-0.0015,0.1615
0.0015,0.1605
0.0168,0.1592
-0.0601,0.1999
0.0066,0.2382
-0.0081,0.2566
-0.0051,0.2576
0.0377,0.2559
-0.0081,0.2600
-0.0026,0.2579
-0.0575,0.2780
-0.0125,0.3386
0.0073,0.3507
0.0007,0.3559
-0.0015,0.3564
0.0026,0.3561
-0.0029,0.3578
0.0044,0.3552
-0.0385,0.4159
0.0220,0.4438
0.0784,0.4295
-0.0088,0.4512
-0.0095,0.4539
0.0176,0.4525
0.0132,0.4543
-0.0681,0.4983
-0.0242,0.5392
0.0015,0.5486
-0.0509,0.5485
-0.0201,0.5564
-0.0271,0.5511
-0.0062,0.5511
-0.0040,0.5510
-0.0656,0.5811
-0.0205,0.6332
-0.0048,0.6459
-0.0026,0.6499
-0.0015,0.6498
-0.0253,0.6495
-0.0007,0.6502
-0.0564,0.7004
0.0048,0.7364
-0.0088,0.7450
0.0007,0.7474
0.0026,0.7480
0.0033,0.7486
0.0015,0.7484
-0.0473,0.7613
-0.0183,0.8213
0.0048,0.8409
0.0015,0.8444
-0.0026,0.8462
0.0004,0.8453
0.0037,0.8462
-0.0407,0.9008
-0.0136,0.9350
-0.0051,0.9432
0.0055,0.9444
0.0007,0.9458
0.0011,0.9452
0.0062,0.9450
-0.0670,0.9857
-0.0557,1.0907
-0.0106,1.1335
-0.0007,1.1455
0.0007,1.1498
0.0018,1.1504
0.0018,1.1508
0.0560,1.1384
0.0256,1.0691
0.0029,1.0536
0.0007,1.0496
0.0000,1.0483
0.0000,1.0480
-0.0656,1.0922
-0.0125,1.1331
-0.0040,1.1463
0.0040,1.1500
0.0011,1.1507
0.0018,1.1506
0.0037,1.1500
-0.0615,1.1953
-0.0128,1.2359
-0.0051,1.2521
-0.0007,1.2536
0.0004,1.2549
-0.0004,1.2551
0.0018,1.2549
-0.0348,1.3152
-0.0128,1.3428
0.0029,1.3501
0.0040,1.3516
0.0044,1.3519
0.0033,1.3526
-0.0586,1.3880
-0.0106,1.4379
-0.0026,1.4522
-0.0004,1.4548
0.0015,1.4559
0.0018,1.4561
0.0000,1.4564
-0.0502,1.5093
-0.0110,1.5444
0.0007,1.5556
0.0029,1.5572
0.0040,1.5575
-0.0271,1.6245
-0.0110,1.6518
-0.0037,1.6605
0.0037,1.6625
0.0015,1.6623
0.0026,1.6631
0.0040,1.6632
-0.0341,1.7228
-0.0048,1.7486
0.0169,1.7555
0.0007,1.7596
0.0029,1.7586
-0.0520,1.8070
-0.0103,1.8462
-0.0022,1.8547
-0.0128,1.8620
-0.0077,1.8621
0.0029,1.8627
-0.0275,1.9030
-0.0132,1.9482
0.0022,1.9570
0.0480,1.9605
0.0026,1.9632
-0.0663,1.9918
-0.0161,2.0458
-0.0033,2.0591
0.0026,2.0645
0.0051,2.0664
-0.0692,2.0956
-0.0117,2.1468
-0.0018,2.1599
-0.0026,2.1626
-0.0780,2.1902
-0.0967,2.2601
-0.0377,2.2718
-0.0106,2.2687
0.0011,2.2673
-0.0355,2.2740
-0.0183,2.3508
-0.0084,2.3667
0.0037,2.3738
0.0018,2.3737
-0.0366,2.3754
-0.0216,2.3741
-0.0571,2.4065
0.0363,2.4544
0.0993,2.4636
0.0821,2.4687
0.1018,2.4669
0.1007,2.4679
0.1081,2.4666
0.3681,2.5365
0.6454,2.5555
0.7022,2.5593
0.7227,2.5599
0.7330,2.5599
0.7245,2.5605
0.7256,2.5607
0.7286,2.5667
1.0652,2.5850
1.1593,2.5885
1.1857,2.5892
1.1938,2.5896
1.1894,2.5906
1.1901,2.5901
1.5114,2.6078
1.6736,2.6126
1.7216,2.6139
1.7319,2.6138
1.7418,2.6136
1.7432,2.6140
2.0667,2.6282
2.2703,2.6368
2.3209,2.6384
2.3410,2.6386
2.3480,2.6392
2.3447,2.6383
2.6337,2.6503
2.8985,2.6575
2.9125,2.6593
2.9106,2.6597
2.9084,2.6601
2.9106,2.6597
2.9059,2.6607
2.9084,2.6601
2.9070,2.6605
2.8656,2.6696
2.8319,2.6770
2.8326,2.6768
2.8271,2.6780
2.8234,2.6788
2.8260,2.6783
2.8300,2.6774
2.8278,2.6779
2.8198,2.6796
2.7381,2.6976
2.7311,2.6992
2.7242,2.7007
2.7253,2.7004
2.7275,2.7000
2.7256,2.7004
2.7275,2.7000
2.7242,2.7007
2.7282,2.6998
2.7264,2.7002
2.7249,2.7005
2.7264,2.7002
2.7278,2.6999
2.7256,2.7004
2.7275,2.7000
2.7267,2.7001
2.7267,2.7001
2.7253,2.7004
2.7271,2.7000
2.7256,2.7004
2.7275,2.7000
2.7275,2.7000
2.7249,2.7005
2.7260,2.7003
2.7242,2.7007
2.7260,2.7003
2.7300,2.6994
2.7267,2.7001
2.7275,2.7000
