Current (mA),Voltage (V)
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
-0.0136,0.0429
-0.0081,0.0583
0.0040,0.0605
0.0007,0.0633
0.0044,0.0616
0.0073,0.0627
-0.0048,0.0635
-0.0509,0.1124
-0.0048,0.1476
-0.0007,0.1571
0.0099,0.1597
-0.0062,0.1615
0.0062,0.1616
0.0059,0.1607
-0.0026,0.1626
0.0059,0.1607
-0.0414,0.2174
-0.0103,0.2484
-0.0011,0.2551
-0.0040,0.2578
0.0051,0.2591
0.0022,0.2589
0.0121,0.2567
0.0190,0.2588
-0.0703,0.2919
-0.0179,0.3406
-0.0059,0.3537
0.0480,0.3547
0.0044,0.3574
0.0029,0.3571
0.0026,0.3569
-0.0355,0.4045
-0.0110,0.4435
0.0018,0.4502
0.0029,0.4533
0.0070,0.4539
0.0011,0.4546
0.0879,0.4537
-0.0575,0.4871
-0.0004,0.5350
-0.0026,0.5481
-0.0015,0.5510
0.0150,0.5517
0.0132,0.5515
-0.0271,0.5525
0.0048,0.5520
0.0158,0.6095
-0.0040,0.6394
-0.0048,0.6484
0.0073,0.6503
0.0073,0.6500
0.0026,0.6503
0.0011,0.6501
0.0004,0.6510
-0.0568,0.6885
-0.0187,0.7349
-0.0033,0.7453
-0.0004,0.7479
-0.0018,0.7490
-0.0007,0.7492
0.0015,0.7486
-0.0256,0.8165
-0.0055,0.8403
-0.0011,0.8446
0.0022,0.8455
0.0018,0.8461
-0.0007,0.8458
-0.0007,0.8463
-0.0535,0.8906
-0.0245,0.9325
-0.0033,0.9434
0.0033,0.9451
0.0026,0.9460
-0.0004,0.9462
0.0037,0.9458
-0.0520,0.9968
-0.0103,1.0328
-0.0040,1.0452
0.0026,1.0473
0.0037,1.0474
-0.0037,1.0487
0.0110,1.0466
-0.0590,1.0843
-0.0172,1.1326
-0.0011,1.1455
-0.0007,1.1501
0.0022,1.1500
0.0004,1.1512
-0.0267,1.1572
-0.0289,1.2289
-0.0059,1.2493
-0.0015,1.2538
0.0026,1.2550
-0.0022,1.2555
0.0044,1.2552
0.0015,1.2552
-0.0432,1.3062
-0.0077,1.3390
-0.0040,1.3500
-0.0007,1.3518
-0.0033,1.3537
0.0088,1.3528
0.0081,1.3536
-0.0703,1.3737
0.0458,1.3955
0.0000,1.3668
0.0029,1.3563
0.0040,1.3542
0.0103,1.3531
0.0018,1.3528
-0.0502,1.4069
-0.0201,1.4430
-0.0066,1.4535
-0.0040,1.4553
-0.0022,1.4560
0.0081,1.4567
0.0004,1.4563
-0.0341,1.5233
-0.0125,1.5481
0.0048,1.5560
0.0040,1.5577
-0.0011,1.5581
-0.0568,1.5598
-0.0212,1.5605
0.0088,1.5581
-0.0355,1.6307
0.0352,1.6468
0.0029,1.6613
-0.0040,1.6630
0.0106,1.6559
-0.0062,1.6623
-0.0601,1.7070
-0.0055,1.7445
0.0110,1.7551
0.0018,1.7591
0.0088,1.7606
0.0000,1.7593
-0.0022,1.7605
0.0022,1.7602
0.0026,1.7599
-0.0264,1.8297
-0.0033,1.8519
-0.0011,1.8592
0.0070,1.8613
0.0022,1.8619
-0.0015,1.8615
-0.0568,1.9066
-0.0128,1.9480
-0.0029,1.9572
-0.0022,1.9615
0.0077,1.9608
0.0169,1.9607
0.0026,1.9632
0.0132,1.9621
-0.0271,2.0260
0.0044,2.0523
0.0161,2.0579
0.0256,2.0606
0.0326,2.0597
0.0286,2.0609
0.0333,2.0605
0.0322,2.1262
0.0681,2.1413
0.0791,2.1442
0.0802,2.1456
0.0788,2.1454
0.0722,2.1474
0.2037,2.1923
0.2681,2.2019
0.2810,2.2038
0.2850,2.2040
0.2875,2.2044
0.2817,2.2198
0.4832,2.2449
0.5385,2.2497
0.5542,2.2510
0.5685,2.2519
0.5626,2.2520
0.5703,2.2513
0.5645,2.2520
0.5703,2.2516
0.5711,2.2521
0.5582,2.2518
0.5626,2.2516
0.6267,2.2682
0.8048,2.2875
0.8766,2.2903
0.8842,2.2916
0.9791,2.3077
1.1729,2.3230
1.2231,2.3283
1.2388,2.3292
1.2333,2.3289
1.2582,2.3298
1.2410,2.3277
1.2458,2.3287
1.2516,2.3275
1.2473,2.3288
1.2374,2.3289
1.3407,2.3430
1.5685,2.3551
1.6168,2.3584
1.6227,2.3606
1.6264,2.3600
1.6227,2.3608
1.9121,2.3870
2.0264,2.3916
2.0718,2.3928
2.0714,2.3938
2.0813,2.3936
2.1447,2.3964
2.4341,2.4068
2.5451,2.4207
2.5645,2.4231
2.5839,2.4264
2.5535,2.4270
2.8297,2.4422
3.0963,2.4526
3.1150,2.4611
3.1692,2.4551
3.1839,2.4622
3.6007,2.4819
3.6784,2.4869
3.6777,2.4874
3.6806,2.4882
3.6154,2.5046
3.5802,2.5124
3.5766,2.5132
3.5725,2.5140
3.5678,2.5151
3.4692,2.5368
3.4440,2.5423
3.4359,2.5441
3.4348,2.5443
3.4341,2.5445
3.4344,2.5444
3.4319,2.5450
3.4341,2.5445
3.4381,2.5436
3.4348,2.5443
3.4326,2.5448
3.4348,2.5443
3.4326,2.5448
3.4348,2.5443
3.4337,2.5446
3.4366,2.5439
3.4333,2.5447
3.4315,2.5451
3.4377,2.5437
3.4344,2.5444
3.4352,2.5443
3.4363,2.5440
