Current (mA),Voltage (V)
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
-0.0319,0.0305
-0.0048,0.0533
0.0040,0.0597
-0.0055,0.0626
0.0048,0.0612
0.0059,0.0616
-0.0048,0.0629
0.0033,0.0616
0.0048,0.0624
-0.0315,0.1311
-0.0022,0.1522
-0.0073,0.1606
0.0022,0.1602
0.0128,0.1604
-0.0286,0.2282
0.0007,0.2498
0.0048,0.2551
0.0051,0.2569
0.0037,0.2593
0.0110,0.2578
-0.0370,0.3107
-0.0073,0.3447
-0.0037,0.3552
0.0004,0.3561
-0.0377,0.4025
-0.0106,0.4415
0.0022,0.4501
-0.0011,0.4539
0.0011,0.4545
-0.0700,0.4769
-0.0183,0.5328
-0.0033,0.5465
0.0037,0.5501
-0.0004,0.5514
-0.0341,0.6125
-0.0066,0.6400
-0.0029,0.6489
-0.0011,0.6500
0.0007,0.6505
-0.0538,0.6923
-0.0147,0.7349
-0.0015,0.7445
0.0033,0.7478
0.0048,0.7478
-0.0253,0.8105
-0.0095,0.8390
0.0026,0.8441
0.0007,0.8454
-0.0004,0.8458
-0.0667,0.8780
-0.0150,0.9260
-0.0143,0.9416
0.0059,0.9437
-0.0139,0.9483
0.0015,0.9461
-0.0399,1.0027
-0.0121,1.0357
-0.0048,1.0459
-0.0040,1.0476
-0.0044,1.0466
0.0026,1.0475
-0.0311,1.1040
-0.0216,1.1393
-0.0410,1.1472
-0.0179,1.1496
0.0033,1.1494
-0.0630,1.1683
-0.0154,1.2306
-0.0011,1.2481
-0.0048,1.2545
-0.0015,1.2544
0.0011,1.2545
-0.0370,1.3123
0.0048,1.3397
-0.0011,1.3500
0.0095,1.3508
-0.0212,1.3524
-0.0333,1.4150
-0.0136,1.4435
-0.0055,1.4536
-0.0026,1.4553
-0.1095,1.4546
-0.1495,1.4749
-0.0234,1.5395
-0.0015,1.5527
0.0275,1.5551
0.0282,1.5574
0.0000,1.5599
-0.0425,1.5884
0.0158,1.6328
0.0560,1.6435
0.0648,1.6460
-0.0476,1.6492
0.0304,1.6482
0.0930,1.6905
0.1696,1.7085
0.2044,1.7124
0.2154,1.7130
0.2070,1.7246
0.4176,1.7453
0.4711,1.7494
0.4850,1.7499
0.4919,1.7508
0.4941,1.7526
0.5685,1.7634
0.7615,1.7750
0.8099,1.7776
0.8308,1.7772
0.8308,1.7779
1.0700,1.7937
1.1615,1.7980
1.1949,1.7986
1.1927,1.7987
1.2168,1.7985
1.1927,1.7984
1.2106,1.8009
1.4758,1.8131
1.5498,1.8156
1.5674,1.8161
1.7462,1.8249
1.9220,1.8292
1.9590,1.8310
1.9696,1.8319
1.9696,1.8322
2.2007,1.8393
2.3538,1.8425
2.3923,1.8428
2.4007,1.8436
2.5451,1.8488
2.4443,1.8461
2.4278,1.8447
2.4077,1.8441
2.4062,1.8436
2.4971,1.8496
2.7568,1.8533
2.8454,1.8561
2.8648,1.8553
2.8568,1.8573
3.1703,1.8667
3.2813,1.8685
3.3168,1.8686
3.3136,1.8700
3.5077,1.8748
3.7403,1.8780
3.7901,1.8785
3.8070,1.8789
3.8088,1.8797
4.1901,1.8880
4.3315,1.8891
4.3535,1.8893
4.3626,1.8896
4.7066,1.8950
4.8908,1.8987
4.9538,1.8993
4.9678,1.8998
5.4516,1.9052
5.5993,1.9068
5.6480,1.9066
5.6568,1.9067
5.8480,1.9139
6.2190,1.9166
6.2908,1.9160
6.2842,1.9175
6.2784,1.9188
6.2484,1.9254
6.2443,1.9262
6.2440,1.9263
6.2443,1.9262
6.2440,1.9263
6.2300,1.9294
6.2110,1.9336
6.2092,1.9340
6.2059,1.9347
6.2092,1.9340
6.2114,1.9335
6.2055,1.9348
6.2099,1.9338
6.2117,1.9334
6.2099,1.9338
6.2132,1.9331
6.2062,1.9346
6.2062,1.9346
6.2088,1.9341
6.2092,1.9340
6.2117,1.9334
6.2132,1.9331
6.2150,1.9327
6.2161,1.9325
