Current (mA),Voltage (V)
0.0000,0.0000
0.0000,0.0000
-0.0121,0.0027
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
-0.0055,0.0012
0.0201,0.0472
0.0037,0.0595
0.0143,0.0636
0.0037,0.0637
0.0150,0.0641
-0.0040,0.0651
0.0128,0.0627
0.0128,0.0631
0.0066,0.0637
-0.0344,0.1293
-0.0033,0.1530
0.0015,0.1599
0.0033,0.1621
0.0033,0.1616
-0.0007,0.1621
0.0022,0.1627
0.0044,0.1620
0.0062,0.1625
-0.0564,0.1989
-0.0121,0.2445
0.0000,0.2548
-0.0015,0.2591
0.0110,0.2588
-0.0048,0.2605
0.0073,0.2596
-0.0037,0.2615
0.0029,0.2584
-0.0238,0.3281
-0.0187,0.3512
0.0029,0.3551
0.0048,0.3569
0.0011,0.3564
0.0033,0.3566
0.0037,0.3569
0.0308,0.3501
0.0359,0.2825
-0.0194,0.3288
-0.0051,0.3493
-0.0070,0.3568
0.0026,0.3563
-0.0582,0.3829
-0.0473,0.4390
0.0092,0.4487
0.0161,0.4518
0.0048,0.4546
-0.0062,0.4557
-0.0007,0.4547
0.0136,0.4532
-0.0355,0.5261
0.0048,0.5436
0.0037,0.5495
-0.0062,0.5516
0.0051,0.5519
0.0000,0.5518
-0.0322,0.6133
0.0018,0.6409
-0.0121,0.6502
-0.0051,0.6490
0.0168,0.6497
0.0004,0.6502
-0.0337,0.7139
-0.0231,0.7412
-0.0150,0.7483
-0.0007,0.7499
-0.0670,0.7855
-0.0242,0.8308
-0.0022,0.8432
0.0011,0.8452
0.0007,0.8466
0.0011,0.8466
-0.0645,0.8831
-0.0253,0.9304
-0.0026,0.9433
0.0029,0.9454
0.0029,0.9467
0.0018,0.9468
-0.0414,1.0120
-0.0081,1.0396
-0.0029,1.0477
0.0015,1.0483
0.0026,1.0486
-0.0549,1.0969
-0.0231,1.1372
-0.0033,1.1479
0.0022,1.1505
-0.0007,1.1514
-0.0392,1.2068
-0.0161,1.2446
0.0029,1.2523
0.0015,1.2550
-0.0004,1.2553
-0.0231,1.3232
-0.0059,1.3476
0.0011,1.3518
-0.0007,1.3543
-0.0641,1.3853
-0.0139,1.4387
-0.0004,1.4525
-0.0095,1.4552
-0.0018,1.4574
0.0044,1.4554
-0.0029,1.4564
-0.0623,1.4740
-0.0487,1.5357
-0.0026,1.5539
0.0037,1.5570
0.0040,1.5578
0.0128,1.5583
-0.0648,1.5802
-0.0110,1.6390
-0.1062,1.6681
-0.0044,1.6593
0.0092,1.6588
0.0212,1.6603
0.0454,1.6718
0.0026,1.7293
0.0429,1.7407
0.0769,1.7440
0.0919,1.7810
0.1982,1.7992
0.2245,1.8033
0.2443,1.8034
0.2451,1.8038
0.2432,1.8050
0.2194,1.8116
0.4374,1.8362
0.5037,1.8394
0.5209,1.8407
0.5198,1.8407
0.6495,1.8538
0.8033,1.8643
0.8359,1.8661
0.8513,1.8664
0.8538,1.8661
0.8509,1.8665
0.9850,1.8762
1.1531,1.8820
1.1923,1.8839
