Timestamp,Value,Type
18:30:45.814,"0,137\r\n",received
18:30:45.814,"0,196\r\n",received
18:30:45.814,"0,331\r\n",received
18:30:45.814,"0,462\r\n",received
18:30:45.814,"0,214\r\n",received
18:30:45.814,"0,421\r\n",received
18:30:45.814,"0,277\r\n",received
18:30:45.814,"0,78\r\n",received
18:30:45.814,"0,482\r\n",received
18:30:45.814,"0,498\r\n",received
18:30:45.814,"0,4\r\n",received
18:30:45.814,"0,291\r\n",received
18:30:45.814,"0,34\r\n",received
18:30:45.814,"0,55\r\n",received
18:30:45.814,"0,28\r\n",received
18:30:45.814,"0,358\r\n",received
18:30:45.814,"0,405\r\n",received
18:30:45.814,"0,299\r\n",received
18:30:45.814,"0,473\r\n",received
18:30:45.814,"0,393\r\n",received
18:30:45.814,"0,497\r\n",received
18:30:45.814,"0,139\r\n",received
18:30:45.814,"0,191\r\n",received
18:30:45.814,"0,234\r\n",received
18:30:45.814,"0,121\r\n",received
18:30:45.814,"0,283\r\n",received
18:30:45.814,"0,90\r\n",received
18:30:45.814,"0,325\r\n",received
18:30:45.814,"0,129\r\n",received
18:30:45.814,"0,208\r\n",received
18:30:45.814,"0,343\r\n",received
18:30:45.814,"0,433\r\n",received
18:30:45.814,"0,247\r\n",received
18:30:45.814,"0,74\r\n",received
18:30:45.814,"0,222\r\n",received
18:30:45.814,"0,297\r\n",received
18:30:45.814,"0,304\r\n",received
18:30:45.814,"0,338\r\n",received
18:30:45.814,"0,157\r\n",received
18:30:45.814,"0,121\r\n",received
18:30:45.814,"0,431\r\n",received
18:30:45.814,"0,103\r\n",received
18:30:45.814,"0,205\r\n",received
18:30:45.814,"0,417\r\n",received
18:30:45.814,"0,186\r\n",received
18:30:45.814,"0,138\r\n",received
18:30:45.814,"0,215\r\n",received
18:30:45.814,"0,445\r\n",received
18:30:45.814,"0,224\r\n",received
18:30:45.814,"0,433\r\n",received
18:30:45.814,"0,409\r\n",received
18:30:45.814,"0,216\r\n",received
18:30:45.814,"0,13\r\n",received
18:30:45.814,"0,365\r\n",received
18:30:45.814,"0,353\r\n",received
18:30:45.814,"0,417\r\n",received
18:30:45.814,"0,343\r\n",received
18:30:45.814,"0,69\r\n",received
18:30:45.814,"0,282\r\n",received
18:30:45.814,"0,101\r\n",received
18:30:45.814,"0,135\r\n",received
18:30:45.814,"0,320\r\n",received
18:30:45.814,"0,206\r\n",received
18:30:45.814,"0,397\r\n",received
18:30:45.814,"0,204\r\n",received
18:30:45.814,"0,313\r\n",received
18:30:45.814,"0,75\r\n",received
18:30:45.829,"0,276\r\n",received
18:30:45.829,"0,235\r\n",received
18:30:45.829,"0,424\r\n",received
18:30:45.829,"0,490\r\n",received
18:30:45.829,"0,96\r\n",received
18:30:45.829,"0,78\r\n",received
18:30:45.829,"0,269\r\n",received
18:30:45.829,"0,105\r\n",received
18:30:45.829,"0,137\r\n",received
18:30:45.829,"0,156\r\n",received
18:30:45.829,"0,440\r\n",received
18:30:45.829,"0,22\r\n",received
18:30:45.829,"0,110\r\n",received
18:30:45.829,"0,207\r\n",received
18:30:45.829,"0,484\r\n",received
18:30:45.829,"0,284\r\n",received
18:30:45.829,"0,404\r\n",received
18:30:45.829,"0,99\r\n",received
18:30:45.829,"0,146\r\n",received
18:30:45.829,"0,236\r\n",received
18:30:45.829,"0,440\r\n",received
