Timestamp,Value,Type
17:45:32.614,"0,393\r\n",received
17:45:32.614,"0,493\r\n",received
17:45:32.614,"0,346\r\n",received
17:45:32.614,"0,474\r\n",received
17:45:32.614,"0,89\r\n",received
17:45:32.614,"0,351\r\n",received
17:45:32.614,"0,282\r\n",received
17:45:32.614,"0,61\r\n",received
17:45:32.614,"0,163\r\n",received
17:45:32.614,"0,431\r\n",received
17:45:32.614,"0,136\r\n",received
17:45:32.614,"0,168\r\n",received
17:45:32.614,"0,209\r\n",received
17:45:32.614,"0,302\r\n",received
17:45:32.614,"0,93\r\n",received
17:45:32.614,"0,173\r\n",received
17:45:32.614,"0,136\r\n",received
17:45:32.614,"0,207\r\n",received
17:45:32.614,"0,21\r\n",received
17:45:32.614,"0,13\r\n",received
17:45:32.614,"0,106\r\n",received
17:45:32.614,"0,25\r\n",received
17:45:32.614,"0,379\r\n",received
17:45:32.614,"0,492\r\n",received
17:45:32.614,"0,219\r\n",received
17:45:32.614,"0,400\r\n",received
17:45:32.614,"0,79\r\n",received
17:45:32.614,"0,300\r\n",received
17:45:32.614,"0,479\r\n",received
17:45:32.614,"0,469\r\n",received
17:45:32.614,"0,302\r\n",received
17:45:32.614,"0,74\r\n",received
17:45:32.614,"0,300\r\n",received
17:45:32.614,"0,265\r\n",received
17:45:32.614,"0,75\r\n",received
17:45:32.614,"0,299\r\n",received
17:45:32.614,"0,7\r\n",received
17:45:32.614,"0,200\r\n",received
17:45:32.614,"0,254\r\n",received
17:45:32.614,"0,105\r\n",received
17:45:32.614,"0,332\r\n",received
17:45:32.614,"0,475\r\n",received
17:45:32.614,"0,85\r\n",received
17:45:32.614,"0,18\r\n",received
17:45:32.614,"0,305\r\n",received
17:45:32.614,"0,363\r\n",received
17:45:32.614,"0,246\r\n",received
17:45:32.614,"0,319\r\n",received
17:45:32.614,"0,260\r\n",received
17:45:32.614,"0,243\r\n",received
17:45:32.614,"0,400\r\n",received
17:45:32.614,"0,320\r\n",received
17:45:32.614,"0,405\r\n",received
17:45:32.614,"0,389\r\n",received
17:45:32.614,"0,371\r\n",received
17:45:32.614,"0,33\r\n",received
17:45:32.614,"0,132\r\n",received
17:45:32.614,"0,312\r\n",received
17:45:32.614,"0,240\r\n",received
17:45:32.614,"0,264\r\n",received
17:45:32.614,"0,227\r\n",received
17:45:32.614,"0,413\r\n",received
17:45:32.614,"0,444\r\n",received
17:45:32.614,"0,164\r\n",received
17:45:32.614,"0,299\r\n",received
17:45:32.614,"0,19\r\n",received
17:45:32.614,"0,84\r\n",received
17:45:32.614,"0,225\r\n",received
17:45:32.614,"0,492\r\n",received
17:45:32.614,"0,208\r\n",received
17:45:32.614,"0,375\r\n",received
17:45:32.614,"0,70\r\n",received
17:45:32.614,"0,191\r\n",received
17:45:32.614,"0,81\r\n",received
17:45:32.614,"0,169\r\n",received
17:45:32.614,"0,117\r\n",received
17:45:32.614,"0,286\r\n",received
17:45:32.614,"0,88\r\n",received
17:45:32.614,"0,198\r\n",received
17:45:32.614,"0,496\r\n",received
17:45:32.614,"0,86\r\n",received
17:45:32.614,"0,313\r\n",received
17:45:32.614,"0,205\r\n",received
17:45:32.614,"0,417\r\n",received
17:45:32.614,"0,416\r\n",received
17:45:32.614,"0,121\r\n",received
17:45:32.614,"0,90\r\n",received
17:45:32.614,"0,60\r\n",received
17:45:32.614,"0,478\r\n",received
17:45:32.614,"0,215\r\n",received
17:45:32.614,"0,153\r\n",received
17:45:32.614,"0,476\r\n",received
17:45:32.614,"0,347\r\n",received
17:45:32.614,"0,468\r\n",received
17:45:32.614,"0,325\r\n",received
17:45:32.614,"0,33\r\n",received
17:45:32.614,"0,1\r\n",received
17:45:32.614,"0,356\r\n",received
17:45:32.614,"0,37\r\n",received
17:45:32.614,"0,206\r\n",received
17:45:32.614,"0,243\r\n",received
17:45:32.630,"0,487\r\n",received
17:45:32.630,"0,109\r\n",received
17:45:32.630,"0,54\r\n",received
17:45:32.630,"0,299\r\n",received
17:45:32.630,"0,351\r\n",received
17:45:32.630,"0,10\r\n",received
17:45:32.630,"0,425\r\n",received
17:45:32.630,"0,4\r\n",received
17:45:32.630,"0,431\r\n",received
17:45:32.630,"0,322\r\n",received
17:45:32.630,"0,75\r\n",received
17:45:32.630,"0,452\r\n",received
17:45:32.630,"0,60\r\n",received
17:45:32.630,"0,392\r\n",received
17:45:32.630,"0,46\r\n",received
17:45:32.630,"0,494\r\n",received
17:45:32.630,"0,192\r\n",received
17:45:32.630,"0,122\r\n",received
17:45:32.630,"0,469\r\n",received
17:45:32.630,"0,75\r\n",received
17:45:32.630,"0,305\r\n",received
17:45:32.630,"0,82\r\n",received
17:45:32.630,"0,4\r\n",received
17:45:32.630,"0,246\r\n",received
17:45:32.630,"0,478\r\n",received
17:45:32.630,"0,345\r\n",received
17:45:32.630,"0,278\r\n",received
17:45:32.630,"0,148\r\n",received
17:45:32.630,"0,215\r\n",received
17:45:32.630,"0,39\r\n",received
17:45:32.630,"0,15\r\n",received
17:45:32.630,"0,183\r\n",received
17:45:32.630,"0,496\r\n",received
17:45:32.630,"0,5\r\n",received
17:45:32.630,"0,271\r\n",received
17:45:32.630,"0,238\r\n",received
17:45:32.630,"0,62\r\n",received
17:45:32.630,"0,64\r\n",received
17:45:32.630,"0,421\r\n",received
17:45:32.630,"0,110\r\n",received
17:45:32.630,"0,351\r\n",received
17:45:32.630,"0,190\r\n",received
17:45:32.630,"0,360\r\n",received
17:45:32.630,"0,143\r\n",received
17:45:32.630,"0,366\r\n",received
17:45:32.630,"0,470\r\n",received
17:45:32.630,"0,366\r\n",received
17:45:32.630,"0,305\r\n",received
17:45:32.630,"0,86\r\n",received
17:45:32.630,"0,356\r\n",received
17:45:32.630,"0,435\r\n",received
17:45:32.630,"0,260\r\n",received
17:45:32.630,"0,445\r\n",received
17:45:32.630,"0,61\r\n",received
17:45:32.630,"0,369\r\n",received
17:45:32.630,"0,129\r\n",received
17:45:32.630,"0,187\r\n",received
17:45:32.630,"0,131\r\n",received
17:45:32.630,"0,436\r\n",received
17:45:32.630,"0,104\r\n",received
17:45:32.630,"0,461\r\n",received
17:45:32.630,"0,111\r\n",received
17:45:32.630,"0,137\r\n",received
17:45:32.630,"0,1\r\n",received
17:45:32.630,"0,159\r\n",received
17:45:32.630,"0,396\r\n",received
17:45:32.630,"0,235\r\n",received
17:45:32.630,"0,51\r\n",received
17:45:32.630,"0,152\r\n",received
17:45:32.630,"0,328\r\n",received
17:45:32.630,"0,119\r\n",received
17:45:32.630,"0,10\r\n",received
17:45:32.630,"0,282\r\n",received
17:45:32.630,"0,358\r\n",received
17:45:32.630,"0,45\r\n",received
17:45:32.630,"0,228\r\n",received
17:45:32.630,"0,334\r\n",received
17:45:32.630,"0,124\r\n",received
17:45:32.630,"0,379\r\n",received
17:45:32.630,"0,210\r\n",received
17:45:32.630,"0,358\r\n",received
17:45:32.630,"0,102\r\n",received
17:45:32.630,"0,20\r\n",received
17:45:32.630,"0,495\r\n",received
17:45:32.630,"0,357\r\n",received
17:45:32.630,"0,345\r\n",received
17:45:32.630,"0,322\r\n",received
17:45:32.630,"0,443\r\n",received
17:45:32.630,"0,175\r\n",received
17:45:32.630,"0,447\r\n",received
17:45:32.630,"0,437\r\n",received
17:45:32.630,"0,283\r\n",received
17:45:32.630,"0,265\r\n",received
17:45:32.630,"0,220\r\n",received
17:45:32.630,"0,286\r\n",received
17:45:32.630,"0,309\r\n",received
17:45:32.630,"0,334\r\n",received
17:45:32.630,"0,376\r\n",received
17:45:32.630,"0,421\r\n",received
17:45:32.630,"0,129\r\n",received
17:45:32.630,"0,105\r\n",received
17:45:32.630,"0,231\r\n",received
17:45:32.630,"0,156\r\n",received
17:45:32.630,"0,446\r\n",received
17:45:32.630,"0,127\r\n",received
17:45:32.630,"0,37\r\n",received
17:45:32.630,"0,71\r\n",received
17:45:32.630,"0,207\r\n",received
17:45:32.630,"0,3\r\n",received
17:45:32.630,"0,117\r\n",received
17:45:32.630,"0,107\r\n",received
17:45:32.630,"0,288\r\n",received
17:45:32.630,"0,283\r\n",received
17:45:32.630,"0,1\r\n",received
17:45:32.630,"0,402\r\n",received
17:45:32.630,"0,306\r\n",received
17:45:32.630,"0,319\r\n",received
17:45:32.630,"0,370\r\n",received
17:45:32.630,"0,222\r\n",received
17:45:32.630,"0,314\r\n",received
17:45:32.630,"0,83\r\n",received
17:45:32.646,"0,0\r\n",received
17:45:32.646,"0,256\r\n",received
17:45:32.646,"0,236\r\n",received
17:45:32.646,"0,192\r\n",received
17:45:32.646,"0,211\r\n",received
17:45:32.646,"0,409\r\n",received
17:45:32.646,"0,386\r\n",received
17:45:32.646,"0,495\r\n",received
17:45:32.646,"0,192\r\n",received
17:45:32.646,"0,492\r\n",received
17:45:32.646,"0,213\r\n",received
17:45:32.646,"0,385\r\n",received
17:45:32.646,"0,414\r\n",received
17:45:32.646,"0,293\r\n",received
17:45:32.646,"0,277\r\n",received
17:45:32.646,"0,10\r\n",received
17:45:32.646,"0,495\r\n",received
17:45:32.646,"0,132\r\n",received
17:45:32.646,"0,328\r\n",received
17:45:32.646,"0,310\r\n",received
17:45:32.646,"0,287\r\n",received
17:45:32.646,"0,390\r\n",received
17:45:32.646,"0,43\r\n",received
17:45:32.646,"0,234\r\n",received
17:45:32.646,"0,442\r\n",received
17:45:32.646,"0,227\r\n",received
17:45:32.646,"0,429\r\n",received
17:45:32.646,"0,253\r\n",received
17:45:32.646,"0,385\r\n",received
17:45:32.646,"0,209\r\n",received
17:45:32.646,"0,302\r\n",received
17:45:32.646,"0,94\r\n",received
17:45:32.646,"0,424\r\n",received
17:45:32.646,"0,193\r\n",received
17:45:32.646,"0,5\r\n",received
17:45:32.646,"0,65\r\n",received
17:45:32.646,"0,364\r\n",received
