Timestamp,Value,Type
18:27:24.475,"0,299\r\n",received
18:27:24.475,"0,342\r\n",received
18:27:24.475,"0,415\r\n",received
18:27:24.475,"0,230\r\n",received
18:27:24.475,"0,90\r\n",received
18:27:24.475,"0,265\r\n",received
18:27:24.475,"0,95\r\n",received
18:27:24.475,"0,427\r\n",received
18:27:24.475,"0,430\r\n",received
18:27:24.475,"0,153\r\n",received
18:27:24.475,"0,292\r\n",received
18:27:24.475,"0,113\r\n",received
18:27:24.475,"0,257\r\n",received
18:27:24.475,"0,354\r\n",received
18:27:24.475,"0,399\r\n",received
18:27:24.475,"0,313\r\n",received
18:27:24.475,"0,121\r\n",received
18:27:24.475,"0,484\r\n",received
18:27:24.475,"0,491\r\n",received
18:27:24.475,"0,6\r\n",received
18:27:24.475,"0,115\r\n",received
18:27:24.475,"0,343\r\n",received
18:27:24.475,"0,192\r\n",received
18:27:24.475,"0,60\r\n",received
18:27:24.475,"0,291\r\n",received
18:27:24.475,"0,411\r\n",received
18:27:24.475,"0,93\r\n",received
18:27:24.475,"0,119\r\n",received
18:27:24.475,"0,177\r\n",received
18:27:24.475,"0,55\r\n",received
18:27:24.475,"0,79\r\n",received
18:27:24.475,"0,187\r\n",received
18:27:24.475,"0,407\r\n",received
18:27:24.475,"0,492\r\n",received
18:27:24.475,"0,63\r\n",received
18:27:24.475,"0,0\r\n",received
18:27:24.475,"0,89\r\n",received
18:27:24.475,"0,53\r\n",received
18:27:24.475,"0,326\r\n",received
18:27:24.475,"0,159\r\n",received
18:27:24.475,"0,160\r\n",received
18:27:24.475,"0,443\r\n",received
18:27:24.475,"0,244\r\n",received
18:27:24.475,"0,138\r\n",received
18:27:24.475,"0,229\r\n",received
18:27:24.475,"0,436\r\n",received
18:27:24.475,"0,63\r\n",received
18:27:24.475,"0,404\r\n",received
18:27:24.475,"0,108\r\n",received
18:27:24.475,"0,227\r\n",received
18:27:24.475,"0,496\r\n",received
18:27:24.475,"0,268\r\n",received
18:27:24.475,"0,364\r\n",received
18:27:24.475,"0,88\r\n",received
18:27:24.475,"0,496\r\n",received
18:27:24.475,"0,73\r\n",received
18:27:24.475,"0,167\r\n",received
18:27:24.475,"0,128\r\n",received
18:27:24.475,"0,170\r\n",received
18:27:24.475,"0,402\r\n",received
18:27:24.475,"0,308\r\n",received
18:27:24.475,"0,429\r\n",received
18:27:24.475,"0,55\r\n",received
18:27:24.475,"0,378\r\n",received
18:27:24.475,"0,157\r\n",received
18:27:24.475,"0,421\r\n",received
18:27:24.475,"0,353\r\n",received
18:27:24.475,"0,35\r\n",received
18:27:24.475,"0,369\r\n",received
18:27:24.475,"0,447\r\n",received
18:27:24.475,"0,48\r\n",received
18:27:24.475,"0,458\r\n",received
18:27:24.475,"0,228\r\n",received
18:27:24.475,"0,193\r\n",received
18:27:24.475,"0,135\r\n",received
18:27:24.475,"0,394\r\n",received
18:27:24.475,"0,477\r\n",received
18:27:24.475,"0,35\r\n",received
18:27:24.475,"0,445\r\n",received
18:27:24.475,"0,392\r\n",received
18:27:24.475,"0,378\r\n",received
18:27:24.475,"0,436\r\n",received
18:27:24.475,"0,463\r\n",received
18:27:24.475,"0,65\r\n",received
18:27:24.475,"0,98\r\n",received
18:27:24.475,"0,496\r\n",received
18:27:24.475,"0,86\r\n",received
18:27:24.475,"0,421\r\n",received
18:27:24.475,"0,499\r\n",received
18:27:24.475,"0,386\r\n",received
18:27:24.475,"0,126\r\n",received
18:27:24.475,"0,167\r\n",received
18:27:24.475,"0,208\r\n",received
