Timestamp,Value,Type
18:29:28.151,"0,475\r\n",received
18:29:28.151,"0,334\r\n",received
18:29:28.151,"0,114\r\n",received
18:29:28.151,"0,444\r\n",received
18:29:28.151,"0,187\r\n",received
18:29:28.151,"0,398\r\n",received
18:29:28.151,"0,400\r\n",received
18:29:28.151,"0,34\r\n",received
18:29:28.151,"0,197\r\n",received
18:29:28.151,"0,361\r\n",received
18:29:28.151,"0,55\r\n",received
18:29:28.151,"0,7\r\n",received
18:29:28.151,"0,155\r\n",received
18:29:28.151,"0,97\r\n",received
18:29:28.151,"0,130\r\n",received
18:29:28.151,"0,144\r\n",received
18:29:28.151,"0,472\r\n",received
18:29:28.151,"0,458\r\n",received
18:29:28.151,"0,42\r\n",received
18:29:28.151,"0,199\r\n",received
18:29:28.151,"0,313\r\n",received
18:29:28.151,"0,34\r\n",received
18:29:28.151,"0,295\r\n",received
18:29:28.151,"0,194\r\n",received
18:29:28.151,"0,236\r\n",received
18:29:28.151,"0,416\r\n",received
18:29:28.151,"0,79\r\n",received
18:29:28.151,"0,106\r\n",received
18:29:28.151,"0,330\r\n",received
18:29:28.151,"0,358\r\n",received
18:29:28.151,"0,121\r\n",received
18:29:28.151,"0,395\r\n",received
18:29:28.151,"0,164\r\n",received
18:29:28.151,"0,473\r\n",received
18:29:28.151,"0,112\r\n",received
18:29:28.151,"0,236\r\n",received
18:29:28.151,"0,344\r\n",received
18:29:28.151,"0,369\r\n",received
18:29:28.151,"0,160\r\n",received
18:29:28.151,"0,135\r\n",received
18:29:28.151,"0,458\r\n",received
18:29:28.151,"0,209\r\n",received
18:29:28.151,"0,124\r\n",received
18:29:28.151,"0,475\r\n",received
18:29:28.151,"0,321\r\n",received
18:29:28.151,"0,69\r\n",received
18:29:28.151,"0,149\r\n",received
18:29:28.151,"0,21\r\n",received
18:29:28.151,"0,102\r\n",received
18:29:28.151,"0,443\r\n",received
18:29:28.151,"0,97\r\n",received
18:29:28.151,"0,116\r\n",received
18:29:28.151,"0,211\r\n",received
18:29:28.151,"0,427\r\n",received
18:29:28.151,"0,372\r\n",received
18:29:28.151,"0,52\r\n",received
18:29:28.151,"0,313\r\n",received
18:29:28.151,"0,397\r\n",received
18:29:28.151,"0,237\r\n",received
18:29:28.151,"0,305\r\n",received
18:29:28.151,"0,285\r\n",received
18:29:28.151,"0,4\r\n",received
18:29:28.151,"0,339\r\n",received
18:29:28.151,"0,204\r\n",received
18:29:28.151,"0,118\r\n",received
18:29:28.151,"0,152\r\n",received
18:29:28.151,"0,295\r\n",received
18:29:28.151,"0,104\r\n",received
18:29:28.151,"0,139\r\n",received
18:29:28.151,"0,426\r\n",received
18:29:28.151,"0,129\r\n",received
18:29:28.151,"0,139\r\n",received
18:29:28.151,"0,336\r\n",received
18:29:28.151,"0,409\r\n",received
18:29:28.151,"0,179\r\n",received
18:29:28.151,"0,490\r\n",received
18:29:28.151,"0,339\r\n",received
18:29:28.151,"0,6\r\n",received
18:29:28.151,"0,240\r\n",received
18:29:28.151,"0,366\r\n",received
18:29:28.151,"0,91\r\n",received
18:29:28.151,"0,350\r\n",received
18:29:28.151,"0,408\r\n",received
18:29:28.151,"0,47\r\n",received
18:29:28.151,"0,411\r\n",received
18:29:28.151,"0,11\r\n",received
18:29:28.151,"0,467\r\n",received
18:29:28.151,"0,245\r\n",received
18:29:28.151,"0,320\r\n",received
18:29:28.151,"0,152\r\n",received
18:29:28.151,"0,86\r\n",received
18:29:28.151,"0,214\r\n",received
18:29:28.151,"0,239\r\n",received
18:29:28.151,"0,11\r\n",received
18:29:28.151,"0,491\r\n",received
18:29:28.151,"0,55\r\n",received
18:29:28.151,"0,339\r\n",received
18:29:28.151,"0,218\r\n",received
18:29:28.151,"0,368\r\n",received
18:29:28.151,"0,297\r\n",received
18:29:28.151,"0,427\r\n",received
18:29:28.151,"0,334\r\n",received
18:29:28.151,"0,93\r\n",received
18:29:28.151,"0,228\r\n",received
18:29:28.151,"0,426\r\n",received
18:29:28.151,"0,383\r\n",received
18:29:28.151,"0,452\r\n",received
18:29:28.151,"0,324\r\n",received
18:29:28.151,"0,260\r\n",received
18:29:28.151,"0,229\r\n",received
18:29:28.151,"0,249\r\n",received
18:29:28.151,"0,73\r\n",received
18:29:28.151,"0,126\r\n",received
18:29:28.151,"0,33\r\n",received
18:29:28.151,"0,149\r\n",received
18:29:28.151,"0,369\r\n",received
18:29:28.151,"0,137\r\n",received
18:29:28.151,"0,270\r\n",received
18:29:28.151,"0,438\r\n",received
18:29:28.151,"0,460\r\n",received
18:29:28.151,"0,293\r\n",received
18:29:28.151,"0,331\r\n",received
18:29:28.186,"0,14\r\n",received
18:29:28.186,"0,471\r\n",received
18:29:28.186,"0,72\r\n",received
18:29:28.186,"0,231\r\n",received
18:29:28.186,"0,110\r\n",received
18:29:28.186,"0,104\r\n",received
18:29:28.186,"0,124\r\n",received
18:29:28.186,"0,405\r\n",received
18:29:28.186,"0,188\r\n",received
18:29:28.186,"0,424\r\n",received
18:29:28.186,"0,465\r\n",received
18:29:28.186,"0,219\r\n",received
18:29:28.186,"0,444\r\n",received
18:29:28.186,"0,341\r\n",received
18:29:28.186,"0,484\r\n",received
18:29:28.186,"0,34\r\n",received
18:29:28.186,"0,76\r\n",received
18:29:28.186,"0,116\r\n",received
18:29:28.186,"0,146\r\n",received
18:29:28.186,"0,150\r\n",received
18:29:28.186,"0,122\r\n",received
18:29:28.186,"0,330\r\n",received
18:29:28.186,"0,91\r\n",received
18:29:28.186,"0,57\r\n",received
18:29:28.186,"0,345\r\n",received
18:29:28.186,"0,40\r\n",received
18:29:28.186,"0,191\r\n",received
18:29:28.186,"0,127\r\n",received
18:29:28.186,"0,118\r\n",received
18:29:28.186,"0,442\r\n",received
18:29:28.186,"0,23\r\n",received
18:29:28.186,"0,348\r\n",received
18:29:28.186,"0,471\r\n",received
18:29:28.186,"0,250\r\n",received
18:29:28.186,"0,279\r\n",received
18:29:28.186,"0,115\r\n",received
18:29:28.186,"0,6\r\n",received
18:29:28.186,"0,131\r\n",received
18:29:28.186,"0,475\r\n",received
18:29:28.186,"0,179\r\n",received
18:29:28.186,"0,380\r\n",received
18:29:28.186,"0,375\r\n",received
18:29:28.186,"0,168\r\n",received
18:29:28.186,"0,369\r\n",received
18:29:28.186,"0,172\r\n",received
18:29:28.186,"0,482\r\n",received
18:29:28.186,"0,221\r\n",received
18:29:28.186,"0,391\r\n",received
18:29:28.186,"0,70\r\n",received
18:29:28.186,"0,149\r\n",received
18:29:28.186,"0,316\r\n",received
18:29:28.186,"0,80\r\n",received
18:29:28.186,"0,275\r\n",received
18:29:28.186,"0,325\r\n",received
18:29:28.186,"0,485\r\n",received
18:29:28.186,"0,406\r\n",received
18:29:28.186,"0,32\r\n",received
18:29:28.186,"0,351\r\n",received
18:29:28.186,"0,449\r\n",received
18:29:28.186,"0,407\r\n",received
18:29:28.186,"0,231\r\n",received
18:29:28.186,"0,22\r\n",received
18:29:28.186,"0,341\r\n",received
18:29:28.186,"0,150\r\n",received
18:29:28.186,"0,381\r\n",received
18:29:28.186,"0,137\r\n",received
18:29:28.186,"0,466\r\n",received
18:29:28.186,"0,260\r\n",received
18:29:28.186,"0,347\r\n",received
18:29:28.186,"0,229\r\n",received
18:29:28.186,"0,271\r\n",received
18:29:28.186,"0,51\r\n",received
18:29:28.186,"0,177\r\n",received
18:29:28.186,"0,251\r\n",received
18:29:28.186,"0,238\r\n",received
18:29:28.186,"0,199\r\n",received
18:29:28.186,"0,416\r\n",received
18:29:28.186,"0,149\r\n",received
18:29:28.186,"0,18\r\n",received
18:29:28.186,"0,132\r\n",received
